DISCIPLINE;Rang;Inscr Ch R;QUOTA;Sexe;Arme;Catégorie;Dep;Club;Score 1;Score 2;Score 3;Moyenne
Tir en salle;1;;;H;CL;Arc Classique Homme 2025;72;LAIGNÉ ST GERVAIS EN BELIN;568;567;564;1699
Tir en salle;2;;;H;CL;Arc Classique Homme 2025;44;CARQUEFOU;574;561;550;1685
Tir en salle;3;;;H;CL;Arc Classique Homme 2025;44;MONTOIR DE BRETAGNE;563;560;538;1661
Tir en salle;4;;;H;CL;Arc Classique Homme 2025;85;MONTAIGU;565;559;536;1660
Tir en salle;5;;;H;CL;Arc Classique Homme 2025;53;LAVAL;554;549;547;1650
Tir en salle;6;;;H;CL;Arc Classique Homme 2025;49;CHOLET TAC;553;548;547;1648
Tir en salle;7;;;H;CL;Arc Classique Homme 2025;49;MURS ERIGNE;552;552;542;1646
Tir en salle;8;;;H;CL;Arc Classique Homme 2025;44;ORVAULT;556;545;544;1645
Tir en salle;9;;;H;CL;Arc Classique Homme 2025;85;FONTENAY LE COMTE;565;545;534;1644
Tir en salle;10;;;H;CL;Arc Classique Homme 2025;44;PONTCHATEAU;558;543;542;1643
Tir en salle;11;;;H;CL;Arc Classique Homme 2025;49;CANDE;548;545;545;1638
Tir en salle;12;;;H;CL;Arc Classique Homme 2025;49;ANGERS;558;540;538;1636
Tir en salle;13;;;H;CL;Arc Classique Homme 2025;72;LE MANS MAINE;554;549;529;1632
Tir en salle;14;;;H;CL;Arc Classique Homme 2025;85;AIZENAY;550;544;534;1628
Tir en salle;15;;;H;CL;Arc Classique Homme 2025;44;ST NAZAIRE;567;528;525;1620
Tir en salle;16;;;H;CL;Arc Classique Homme 2025;72;LA FLECHE;563;553;489;1605
Tir en salle;17;;;H;CL;Arc Classique Homme 2025;44;COUERON;539;535;525;1599
Tir en salle;18;;;H;CL;Arc Classique Homme 2025;49;MAZE;545;526;526;1597
Tir en salle;19;;;H;CL;Arc Classique Homme 2025;49;ST MACAIRE EN MAUGES;538;534;519;1591
Tir en salle;20;;;H;CL;Arc Classique Homme 2025;44;SAINT GEREON;558;514;514;1586
Tir en salle;21;;;H;CL;Arc Classique Homme 2025;72;LE MANS;539;526;521;1586
Tir en salle;22;;;H;CL;Arc Classique Homme 2025;72;LA FERTE BERNARD;542;526;517;1585
Tir en salle;23;;;H;CL;Arc Classique Homme 2025;44;NANTES;535;526;524;1585
Tir en salle;24;;;H;CL;Arc Classique Homme 2025;44;LA HAYE FOUASSIERE;539;523;515;1577
Tir en salle;25;;;H;CL;Arc Classique Homme 2025;49;LE FUILET;528;525;524;1577
Tir en salle;26;;;H;CL;Arc Classique Homme 2025;44;PIRIAC SUR MER;567;531;476;1574
Tir en salle;27;;;H;CL;Arc Classique Homme 2025;85;LUCON;537;524;512;1573
Tir en salle;28;;;H;CL;Arc Classique Homme 2025;53;MAYENNE;571;498;488;1557
Tir en salle;29;;;H;CL;Arc Classique Homme 2025;85;POUZAUGES;526;511;511;1548
Tir en salle;30;;;H;CL;Arc Classique Homme 2025;44;LE BIGNON;519;514;505;1538
Tir en salle;31;;;H;CL;Arc Classique Homme 2025;72;SILLE LE GUILLAUME;542;530;464;1536
Tir en salle;32;;;H;CL;Arc Classique Homme 2025;44;PORNIC;529;519;488;1536
Tir en salle;33;;;H;CL;Arc Classique Homme 2025;85;LES SABLES D'OLONNE;529;502;499;1530
Tir en salle;34;;;H;CL;Arc Classique Homme 2025;44;ST HERBLAIN;517;508;504;1529
Tir en salle;35;;;H;CL;Arc Classique Homme 2025;44;CLISSON;517;506;505;1528
Tir en salle;36;;;H;CL;Arc Classique Homme 2025;44;BOUGUENAIS;522;509;490;1521
Tir en salle;37;;;H;CL;Arc Classique Homme 2025;49;BEAUPREAU;510;503;502;1515
Tir en salle;38;;;H;CL;Arc Classique Homme 2025;44;REZE;549;483;476;1508
Tir en salle;39;;;H;CL;Arc Classique Homme 2025;72;SABLE SUR SARTHE;511;501;495;1507
Tir en salle;40;;;H;CL;Arc Classique Homme 2025;85;CHALLANS;544;494;463;1501
Tir en salle;41;;;H;CL;Arc Classique Homme 2025;85;LA CHATAIGNERAIE;532;483;481;1496
Tir en salle;42;;;H;CL;Arc Classique Homme 2025;85;LA GARNACHE;544;504;436;1484
Tir en salle;43;;;H;CL;Arc Classique Homme 2025;44;LES TOUCHES;501;492;490;1483
Tir en salle;44;;;H;CL;Arc Classique Homme 2025;53;MESLAY DU MAINE;499;496;486;1481
Tir en salle;45;;;H;CL;Arc Classique Homme 2025;44;VERTOU;503;491;486;1480
Tir en salle;46;;;H;CL;Arc Classique Homme 2025;85;ST GILLES CROIX DE VIE;546;468;465;1479
Tir en salle;47;;;H;CL;Arc Classique Homme 2025;85;GROSBREUIL;529;494;453;1476
Tir en salle;48;;;H;CL;Arc Classique Homme 2025;44;DONGES;537;482;453;1472
Tir en salle;49;;;H;CL;Arc Classique Homme 2025;49;CHEMILLE;518;481;470;1469
Tir en salle;50;;;H;CL;Arc Classique Homme 2025;53;CHANGE;502;482;478;1462
Tir en salle;51;;;H;CL;Arc Classique Homme 2025;49;SAUMUR;518;505;438;1461
Tir en salle;52;;;H;CL;Arc Classique Homme 2025;49;ECOUFLANT;534;472;450;1456
Tir en salle;53;;;H;CL;Arc Classique Homme 2025;49;DAUMERAY;518;471;460;1449
Tir en salle;54;;;H;CL;Arc Classique Homme 2025;44;BASSE GOULAINE;516;502;424;1442
Tir en salle;55;;;H;CL;Arc Classique Homme 2025;44;MAISDON;489;486;467;1442
Tir en salle;56;;;H;CL;Arc Classique Homme 2025;53;CHATEAU GONTIER;504;496;441;1441
Tir en salle;57;;;H;CL;Arc Classique Homme 2025;85;BEIGNON BASSET;486;482;470;1438
Tir en salle;58;;;H;CL;Arc Classique Homme 2025;44;GUERANDE;508;464;461;1433
Tir en salle;59;;;H;CL;Arc Classique Homme 2025;44;THOUARE SUR LOIRE;486;476;471;1433
Tir en salle;60;;;H;CL;Arc Classique Homme 2025;49;MONTREUIL JUIGNE;515;459;429;1403
Tir en salle;61;;;H;CL;Arc Classique Homme 2025;85;SAINTE FOY;514;469;410;1393
Tir en salle;62;;;H;CL;Arc Classique Homme 2025;85;BEAUVOIR SUR MER;488;481;404;1373
Tir en salle;63;;;H;CL;Arc Classique Homme 2025;85;CHANTONNAY;481;454;438;1373
Tir en salle;64;;;H;CL;Arc Classique Homme 2025;53;EVRON;474;451;439;1364
Tir en salle;65;;;H;CL;Arc Classique Homme 2025;44;CORDEMAIS;484;447;421;1352
Tir en salle;66;;;H;CL;Arc Classique Homme 2025;44;SAINTE-PAZANNE;537;410;402;1349
Tir en salle;67;;;H;CL;Arc Classique Homme 2025;72;ECOMMOY;495;477;367;1339
Tir en salle;68;;;H;CL;Arc Classique Homme 2025;44;NANTES DOULON;465;435;426;1326
Tir en salle;69;;;H;CL;Arc Classique Homme 2025;44;CHATEAUBRIANT;456;434;428;1318
Tir en salle;70;;;H;CL;Arc Classique Homme 2025;44;FROSSAY-SAINT VIAUD;517;461;333;1311
Tir en salle;71;;;H;CL;Arc Classique Homme 2025;85;BARBATRE;539;370;360;1269
